product_code,description,cost_price,selling_price,markup_percent,vendor_name,category
DS-KD9633-WBE6,"Face Recognition Android Door Station, 10.1-inch IPS touch screen, Display resolution: 1280 * 800, 
 Android 7.1, 2x2 Mega pixel wide-angle lens, Built-in Mifare card reading module, Wifi & Bluetooth reserverd;
Max.10000 faces capacity, Max.20000 users;
Supports TCP/IP,DC 12V, 4-ch alarm input
IP65,IK07, 1 relays for door lock control, 1 RS-485 for DS-K2M060 to control the second door lock.
Gang box without extention module is included!",14330.82,20779.69,45,HIKVISION SA,Apartment Outdoor Station（Facial）
DS-KD9203-ME6,"4.3""Face Recognition Door Station, Aluminum Alloy
2 MP HD camera with high quality image, 120 ° wide angle of view, Up to 5000 faces, and 50000 cards can be added, Unlocks by cards and faces, Supports anti-spoofing, Supports cofiguration via Web remotely",5093.48,7385.55,45,HIKVISION SA,Apartment Outdoor Station（Facial）
DS-KD9203-MFE6,"4.3""Face Recognition Door Station, Aluminum Alloy
2 MP HD camera with high quality image, 120 ° wide angle of view, Up to 5000 faces, 5000 fingerprints and 50000 cards can be added, Unlocks by fingerprints, cards and face, Supports anti-spoofing，Supports cofiguration via Web remotely",5713.99,8285.29,45,HIKVISION SA,Apartment Outdoor Station（Facial）
DS-KABD9203-RS,"SGCC, Rain sheild for KD9203 series door station (Surface mouting)",466.01,675.71,45,HIKVISION SA,Apartment Outdoor
DS-KV9503-WBE1,"Face Recognition  Door Station,4.3-inch IPS touch screen, Display resolution: 800 × 480 , 
2x2 Mega pixel lens, Built-in Mifare card reading module, Wifi & Bluetooth reserverd;
Max.10000 faces capacity, Max.20000 users;
Supports TCP/IP,DC 12V & POE, 4-ch alarm input
IP65,IK08, 2 relays for door lock control, 1 RS-485",3768.29,5464.02,45,HIKVISION SA,Apartment Outdoor Station（Facial）
DS-KABV9503-RS,Protective shield for DS-KV9503-WBE1 villa door station (Surface mouting),182.13,264.09,45,HIKVISION SA,Villa Outdoor Station
DS-KV8113-WME1(C),"CMOS 2MP HD Colorful Camera,, Aluminum alloy, 1-ch Indoor station access, Wi-Fi 802.11b/g/n,  Surface mounting
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,2 relay for door lock contrl;
IP65,3 indicator integrated
Call directly to Hik-Connect APP without indoor station.",2262.23,3280.23,45,HIKVISION SA,Villa Outdoor Station
DS-KV8113-WME1(C)/Flush,"CMOS 2MP HD Colorful Camera,, Aluminum alloy, 1-ch Indoor station access, Wi-Fi 802.11b/g/n,  Flush mounting,
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,2 relay for door lock contrl;
IP65,3 indicator integrated
Call directly to Hik-Connect APP without indoor station.",2262.23,3280.23,45,HIKVISION SA,Villa Outdoor Station
DS-KV8213-WME1(C),"CMOS 2MP HD Colorful Camera,, Aluminum alloy, 2-ch Indoor station access, Wi-Fi 802.11b/g/n,  Surface mounting
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,2 relay for door lock contrl;
IP65,3 indicator integrated",2445.62,3546.15,45,HIKVISION SA,Villa Outdoor Station
DS-KV8213-WME1(C)/Flush,"CMOS 2MP HD Colorful Camera,, Aluminum alloy, 2-ch Indoor station access, Wi-Fi 802.11b/g/n, Flush mounting,
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,2 relay for door lock contrl;
IP65,3 indicator integrated",2445.62,3546.15,45,HIKVISION SA,Villa Outdoor Station
DS-KV8413-WME1(C),"CMOS 2MP HD Colorful Camera,, Aluminum alloy, 4-ch Indoor station access, Wi-Fi 802.11b/g/n,  Surface mounting
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,2 relay for door lock contrl;
IP65,3 indicator integrated",2630.27,3813.89,45,HIKVISION SA,Villa Outdoor Station
DS-KV8413-WME1(C)/Flush,"CMOS 2MP HD Colorful Camera,, Aluminum alloy, 4-ch Indoor station access, Wi-Fi 802.11b/g/n, Flush mounting,
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,2 relay for door lock contrl;
IP65,3 indicator integrated",2630.27,3813.89,45,HIKVISION SA,Villa Outdoor Station
DS-KABV8113-RS/Flush,SECC，Protective shield for KV8113 series villa door station (Flush mouting),182.13,264.09,45,HIKVISION SA,Villa Outdoor Station
DS-KABV8113-RS/Surface,SECC，Protective shield for KV8113 series villa door station (Surface mouting),182.13,264.09,45,HIKVISION SA,Villa Outdoor Station
DS-KV6113-WPE1(C),"CMOS 2MP HD Colorful Camera,,Plastic, 1-ch Indoor station access, Wi-Fi 802.11b/g/n, 
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,1 relay for door lock contrl;
IP65, 2 indicator integrated
Call directly to Hik-Connect APP without indoor station.",1704.52,2471.55,45,HIKVISION SA,Villa Outdoor Station
DS-KABV6113-RS,Plastic，Protective shield for KV6103/6113 series villa door station (Surface mouting),109.28,158.46,45,HIKVISION SA,Villa Outdoor Station
DS-KV6133-WME1/Surface,"CMOS 2MP HD Colorful Camera, ,  aluminum alloy and glass, Wi-Fi 802.11b/g/n, incluing Surface gang box;
Standard PoE/ 12 VDC, Mifare card reading module;
10M/100M Self-adaptive Ethernet, RS-485;
4-ch alarm input,1 relay for door lock contrl;
IP65
Call directly to Hik-Connect APP without indoor station.",1902.99,2759.34,45,HIKVISION SA,Villa Outdoor Station
DS-KV6124-WBE1,"CMOS 4MP HD Colorful Camera, ≥150° viewing angle, Plastic
Mifare card reading module, PIN code;
Standard 8023.at PoE/ 12 VDC, 2 relays for door lock contrl ( Max. 30 VDC 1A);
10M/100M Self-adaptive Ethernet, 2.4G 802.11b/g/n Wi-Fi6, Bluetooth;
4-ch alarm input; 1-ch RS485;
IP66, 3 indicators integrated
TF card, max 128G
Call directly to Hik-Connect APP without indoor station.",2244.65,3254.74,45,HIKVISION SA,Villa Outdoor Station
DS-KV6114-MWBE1,"CMOS 4MP HD Colorful Camera, ≥150° viewing angle, Metal
Mifare card reading module;
Standard 8023.at PoE/ 12 VDC, 2 relays for door lock contrl (Max. 30 VDC 1A);
10M/100M Self-adaptive Ethernet, 2.4G 802.11b/g/n Wi-Fi6, Bluetooth;
4-ch alarm input; 1-ch RS485;
IP66, 3 indicators integrated
TF card, max 128G
Call directly to Hik-Connect APP without indoor station.",2244.65,3254.74,45,HIKVISION SA,Villa Outdoor Station
DS-KB8113-IME1(B),"Vandal Proof Standard PoE Doorbell
Call directly to Hik-Connect APP without indoor station.
2 MP IP Vandal-resistant Door Station, 80°(Horizontal) and 44°(Vertical), field of view adjustment -50° to 50°, 10/100 Mbps Self-Adaptive Ethernet, PoE (Power over Ethernet),  IR Supplement, IR Distance: 5 Meters, IK 9 and IP 66,
Configuration remotely via Web",1611.57,2336.78,45,HIKVISION SA,Doorbell
DS-KD8003-IME1(B)/Surface,IP version: DS-KD8003-IME1 with its surface mouting accessories. IP65 (DS-KD8003-IME1+DS-KD-ACW1),2255.95,3271.13,45,HIKVISION SA,Module  door Station
DS-KD8003-IME1(B),"IP version:Main unit ,  needs mouting bracket.
CMOS 2MP HD Colorful Camera, Fish eye,  1 Call Button,  1-ch Indoor station access,  2 relays for door lock control
IR Supplement ,  10M/100M Self-adaptive Ethernet,  module connection with RS-485 ,  4-ch alarm input
IP65,  12 VDC or standard POE",1699.5,2464.28,45,HIKVISION SA,Module  door Station
DS-KD-TDM,"Touch&Display&Card Reader module,module connection with RS-485 , IP65,IK8, needs mouting bracket, Flush mounting, Surface mounting, 100mmx100 mm x35mm, 4 inch IPS touch screen with 480 *480 resolution, Self-defined mode for multi-scenario:Keypad mode, Contact list mode, Call button mode,Advertisement mode
Powered by other module (Power input: 12VDC, Power output: 12VDC)",2433.06,3527.94,45,HIKVISION SA,Module  door Station
DS-KD-KK,"Nametag unit ,  including 4 button covers, needs mouting bracket.
6 call buttons,   module connection with RS-485 ,  IP65",560.22,812.32,45,HIKVISION SA,Module  door Station
DS-KD-K12,"Nametag unit ,  including 4 button covers, needs mouting bracket.
12 call buttons,   module connection with RS-485 ,  IP65",752.4,1090.98,45,HIKVISION SA,Module  door Station
DS-KD-IN,"Indicator module,  module connection with RS-485 , needs mouting bracket, IP65,Backlight,Flush mounting, Surface mounting, 98.21mmx100.21 mm x33.7mm, powered by other module (Power input: 12VDC, Power output: 12VDC)",467.27,677.54,45,HIKVISION SA,Module  door Station
DS-KD-BK,"Blank module, IP65, needs mouting bracket, Flush mounting, Surface mounting, 98.21mmx100.21 mm x33.7mm",280.11,406.16,45,HIKVISION SA,Module  door Station
DS-KD-KP,"Keypad module, module connection with RS-485 , IP65, needs mouting bracket, Backlight,Flush mounting, Surface mounting, 98.21mmx100.21 mm x33.7mm, input pin code to open door, call indoor station via inputing room number, powered by other module (Power input: 12VDC, Power output: 12VDC)",1204.6,1746.67,45,HIKVISION SA,Module  door Station
DS-KD-M,"Mifare 1 card reader module, 13.56MHz, module connection with RS-485 , IP65,Backlight,needs mouting bracket, Flush mounting, Surface mounting, 98.21mmx100.21 mm x33.7mm, unlock door via swiping card, powered by other module (Power input: 12VDC, Power output: 12VDC)",747.38,1083.7,45,HIKVISION SA,Module  door Station
DS-KD-DIS,"Display module, module connection with RS-485 , IP65,needs mouting bracket, Backlight,Flush mounting, Surface mounting, 98.21mmx100.21 mm x33.7mm, 3.5 inch LCD, 320*480, 4 buttons, dial number display, pin code unlock, contact list display, powered by other module (Power input: 12VDC, Power output: 12VDC)",1080.24,1566.35,45,HIKVISION SA,Module  door Station
DS-KD-MFB,"Fingerprint&Card Reader(13.56MHz) module,module connection with RS-485 , IP65, needs mouting bracket, Flush mounting, Surface mounting, 100mmx100 mm x35mm,  unlock door via swiping card or fingerprint (Bluetooth reserved);
Powered by other module (Power input: 12VDC, Power output: 12VDC)",1237.26,1794.03,45,HIKVISION SA,Module  door Station
DS-KD-ACW1,"1 module accessories ,  used for Surface mounting ,   includes 1 module frame , 1 module front panel and some other necessary accessories . Aluminum.",654.43,948.92,45,HIKVISION SA,Module  door Station
DS-KD-ACW2,"2 module accessories ,  used for Surface mounting ,   includes 2 module frame , 2 module front panel, 1 button cover and some other necessary accessories . Aluminum.",909.41,1318.64,45,HIKVISION SA,Module  door Station
DS-KD-ACW3,"3 module accessories ,  used for Surface mounting ,  includes 3 module frame , 3 module front panel, 1 button cover and some other necessary accessories . Aluminum.",1522.39,2207.47,45,HIKVISION SA,Module  door Station
DS-KABD8003-RS1,SECC，Convenient design available for the 1 module surface  mounting of the modular  door station (DS-KD8003-IME1 or DS-KD8003-IME2),291.41,422.54,45,HIKVISION SA,Module  door Station
DS-KABD8003-RS2,SECC，Convenient design available for the 2 module surface  mounting of the modular  door station (DS-KD8003-IME1 or DS-KD8003-IME2),363.01,526.36,45,HIKVISION SA,Module  door Station
DS-KABD8003-RS3,SECC，Convenient design available for the 3 module surface  mounting of the modular  door station (DS-KD8003-IME1 or DS-KD8003-IME2),435.87,632.01,45,HIKVISION SA,Module  door Station
DS-KH9510-WTE1(B),"10.1-inch android indoor station
10.1-inch 2.5D IPS colorful touch screen with resolution 1024 × 600
Android version 10
10/100Mbps Ethernet, Wi-Fi 802.11b/g/n;
standard PoE/ 12 VDC.
TF card, max 32G
8-ch alarm input,2xalarm output, 1x485
Built-in Hik-Connect for all-in-one management
Supports Android app installation
Open platform for the third-party software integration",3176.67,4606.17,45,HIKVISION SA,Indoor Station
DS-KABH9510-T,"Table bracket for KH9310/9510 series indoor station, material : SUS430",329.1,477.19,45,HIKVISION SA,Bracket
DS-KH8350-WTE1,"Reddot award 2017 winner
7“ Touch-Screen Indoor Station, 
7-inch Colorful IPS LCD, display resolution: 1024 * 600;
10/100Mbps Ethernet, Wi-Fi 802.11b/g/n;
standard PoE/ 12 VDC.
TF card, max 32G
8-ch alarm input , 2xalarm output, 1x485",3064.88,4444.08,45,HIKVISION SA,Indoor Station
DS-KH8520-WTE1,"10“ Touch-Screen Indoor Station, 
10-inch Colorful TFT LCD, display resolution: 1024 * 600;
10/100Mbps Ethernet, Wi-Fi 802.11b/g/n;
standard PoE/ 12 VDC.
TF card, max 32G
8-ch alarm input,2xalarm output, 1x485",3627.61,5260.03,45,HIKVISION SA,Indoor Station
DS-KH6350-WTE1,"7“ Touch-Screen Indoor Station, 
7-inch Colorful TFT LCD, display resolution: 1024 * 600;
10/100Mbps Ethernet, Wi-Fi 802.11b/g/n;
standard PoE/ 12 VDC.
TF card, max 128G
8-ch alarm input, 2xalarm output, 1x485",1901.73,2757.51,45,HIKVISION SA,Indoor Station
DS-KABH6350-T,"Table bracket for KH6350 series indoor station, material : SECC, silica gel",261.27,378.84,45,HIKVISION SA,Bracket
DS-KIS602(B),"IP video intercom kit for villa or house, only one call button.
DS-KD8003-IME1/Surface(B)   x1;
DS-KH6320-WTE1  x1;
4 port standard PoE switch x1;
16GB TF card x1;
Power adapter included in the package（European Standard）",4211.7,6106.96,45,HIKVISION SA,IP Video Intercom Kit
DS-KIS604-P(C),"IP video intercom kit for villa or house, only one call button.
DS-KV8113-WME1(C)  x1;
DS-KH6320-WTE1  x1;
PSU x2;
16GB TF card x1;
Power adapter included in the package（European Standard）",3787.13,5491.34,45,HIKVISION SA,IP Video Intercom Kit
DS-KIS604-S(C),"IP video intercom kit for villa or house, only one call button.
DS-KV8113-WME1(C)  x1;
DS-KH6320-WTE1  x1;
4 port standard PoE switch x1;
16GB TF card x1;
Power adapter included in the package（European Standard）",4393.83,6371.05,45,HIKVISION SA,IP Video Intercom Kit
